hour,trips,avg_fare,median_fare
0,187290,13.05200293662235,9.5
1,156444,12.278025555470332,9.25
2,128404,11.477028908756735,9.0
3,94701,11.670669053125097,9.05
4,62757,14.067386427012128,10.0
5,48874,20.36125629168883,13.25
6,63386,21.135768623986365,12.75
7,123824,15.789902038377052,8.75
8,206270,13.63408731274543,8.5
9,243122,13.861251840639675,8.5
10,230874,14.599882706584543,8.75
11,242961,14.799815649425218,8.5
12,266966,14.843165047234477,8.5
13,272118,14.912123159805668,8.5
14,266606,15.295089457851661,8.75
15,274733,15.745817684806704,9.0
16,298813,15.363281584134562,9.0
17,324357,14.298640232829875,9.25
18,352439,13.577964555568483,9.25
19,349677,13.66672869533884,9.0
20,304677,14.165248049573808,9.25
21,266623,14.52789301748161,9.25
22,253304,13.95054685279348,9.5
23,224902,13.265212714871364,9.5
